country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,1060,1100,1060,1140,1160,1280,1300,1530,1610,1660,1840,1850,1840,1810,1800,1800
Albania,4720,3350,3120,3440,3750,4280,4700,4210,4620,5280,5670,6180,6460,6860,7280,7730,8200,8750,9150,9520,9930,10200,10400,10500,10700,11000,11400,11800
Algeria,10200,9870,9820,9400,9130,9300,9510,9460,9800,9970,10200,10400,10800,11500,11800,12300,12300,12600,12700,12600,12900,13000,13200,13300,13500,13700,13900,13900
Angola,3430,3360,3060,2250,2210,2470,2720,2840,2890,2870,2870,2900,3180,3210,3420,3990,4580,5440,5980,5910,5900,5910,6000,6190,6260,6230,5970,5820
Antigua and Barbuda,16400,16600,16500,17000,17700,16500,17100,17500,17900,18100,18900,17700,17600,18400,19300,20300,22600,24400,24100,20900,19200,18600,19000,18800,19600,20200,21000,21500
Argentina,10800,12000,13300,13900,14500,13900,14500,15500,15900,15200,14900,14100,12400,13400,14400,15500,16600,17900,18400,17200,18700,19600,19200,19500,18800,19100,18600,18900
Armenia,3740,3340,1980,1850,1990,2170,2340,2440,2640,2740,2920,3220,3670,4210,4670,5360,6110,7010,7560,6530,6700,7020,7510,7730,7970,8200,8190,8790
Australia,28700,28200,28000,28800,29600,30400,31200,32100,33200,34400,35400,35600,36600,37200,38200,38900,39400,40700,41300,41300,41500,41900,42800,43100,43500,43900,44500,44600
Austria,31300,32100,32400,32300,33000,33800,34500,35200,36400,37700,38800,39200,39600,39800,40700,41300,42500,43900,44400,42700,43300,44500,44600,44300,44300,44300,44500,45400
Azerbaijan,8510,8320,6350,4810,3810,3320,3330,3490,3800,4050,4460,4860,5340,5890,6440,8050,10700,13200,14400,15400,16000,15800,15900,16600,16700,16700,16000,15800
Bahamas,31000,29200,27500,27100,27500,28200,29000,29300,30400,32100,33000,33300,33500,32400,32000,32400,32600,32400,31100,29300,29200,28900,29400,28900,28500,28400,27600,27700
Bahrain,35100,38000,39500,43500,42300,42900,43500,43600,44300,44600,44900,43900,43100,43200,43400,43200,42700,42800,42200,40700,40600,40200,41000,42700,43800,43900,43600,43300
Bangladesh,1290,1300,1340,1370,1400,1440,1470,1500,1550,1590,1640,1690,1730,1780,1840,1930,2030,2150,2250,2340,2440,2570,2710,2840,2970,3130,3320,3520
Barbados,14400,13800,12800,12900,13400,13600,14100,14700,15200,15200,15500,15000,15100,15400,15600,16200,17000,17200,17200,16400,16400,16500,16500,16400,16400,16500,16700,17000
Belarus,8350,8250,7440,6860,6070,5450,5620,6290,6850,7110,7560,7960,8420,9070,10200,11200,12400,13500,15000,15000,16200,17200,17500,17700,17900,17200,16800,17200
Belgium,30600,31100,31400,31000,31900,32600,33100,34200,34800,36000,37200,37400,37900,38000,39200,39800,40500,41600,41600,40400,41100,41200,41000,40900,41400,41700,42100,42700
Belize,5170,5600,6170,6450,6330,6210,6100,6090,6080,6370,6960,7090,7250,7720,7880,7870,8020,7900,7950,7810,7880,7860,7970,7860,8000,8130,7920,7820
Benin,1460,1470,1470,1500,1480,1520,1530,1570,1590,1620,1670,1700,1730,1730,1760,1740,1750,1810,1840,1830,1820,1820,1860,1930,2000,1990,2010,2060
Bhutan,2330,2320,2450,2540,2700,2900,3030,3140,3240,3400,3540,3720,4010,4200,4330,4520,4720,5450,5590,5850,6420,6810,7030,7070,7370,7740,8250,8710
Bolivia,3710,3830,3810,3900,4000,4110,4200,4320,4450,4390,4410,4400,4430,4470,4580,4690,4840,4970,5190,5280,5410,5600,5790,6090,6320,6530,6710,6890
Bosnia and Herzegovina,,,,,1470,1830,3510,4750,5490,6010,6320,6600,6940,7210,7640,8310,8760,9280,9820,9570,9720,9900,9930,10300,10500,10900,11300,11700
Botswana,8110,8480,8490,8430,8520,8900,9220,9750,9640,10400,10400,10300,10700,11100,11200,11600,12400,13200,13800,12500,13300,13900,14200,15600,15900,15400,15700,15800
